Date,Open,High,Low,Close,Adj Close,Volume
2000-03-17,1.166666,1.166666,1.133333,1.133333,0.169515,705600.0
2000-03-20,1.123333,1.123333,1.05,1.081666,0.161787,610200.0
2000-03-21,1.083333,1.116666,1.033333,1.075,0.16079,3186000.0
2000-03-22,1.081666,1.116666,1.081666,1.083333,0.162036,6768000.0
2000-03-23,1.091666,1.131666,1.075,1.075,0.16079,586800.0
2000-03-24,1.083333,1.115,1.083333,1.09,0.163033,547200.0
2000-03-27,1.1,1.1,1.038333,1.066666,0.159543,667800.0
2000-03-28,1.081666,1.081666,1.036666,1.036666,0.155056,646200.0
2000-03-29,1.041666,1.056666,1.033333,1.05,0.15705,961200.0
2000-03-30,1.041666,1.056666,1.041666,1.043333,0.156053,547200.0
2000-03-31,1.055,1.056666,1.043333,1.048333,0.156801,1497600.0
2000-04-03,1.048333,1.048333,1.008333,1.011666,0.151317,1555200.0
2000-04-04,1.016666,1.02,0.991666,1.02,0.152563,2494800.0
2000-04-05,1.025,1.048333,0.986666,1.0,0.149572,1004400.0
2000-04-06,1.008333,1.008333,0.968333,0.983333,0.147079,738000.0
2000-04-07,0.983333,1.0,0.958333,0.981666,0.146829,1780200.0
2000-04-10,0.981666,0.996666,0.945,0.95,0.142093,991800.0
2000-04-11,0.991666,0.991666,0.933333,0.943333,0.141096,1510200.0
2000-04-12,0.983333,1.0,0.933333,0.963333,0.144087,1692000.0
2000-04-13,0.963333,0.991666,0.933333,0.948333,0.141844,604800.0
2000-04-14,0.933333,0.95,0.9,0.916666,0.137107,1191600.0
2000-04-17,0.938333,0.941666,0.885,0.941666,0.140847,811800.0
2000-04-18,0.95,1.0,0.918333,0.966666,0.144586,1535400.0
2000-04-19,0.991666,0.998333,0.918333,0.921666,0.137855,619200.0
2000-04-20,0.95,0.95,0.925,0.933333,0.1396,516600.0
2000-04-21,0.933333,0.933333,0.933333,0.933333,0.1396,0.0
2000-04-24,0.94,0.965,0.933333,0.933333,0.1396,657000.0
2000-04-25,0.966666,0.983333,0.935,0.936666,0.140099,559800.0
2000-04-26,0.958333,0.958333,0.923333,0.95,0.142093,878400.0
2000-04-27,0.916666,0.958333,0.916666,0.95,0.142093,2665800.0
2000-04-28,0.973333,1.023333,0.941666,1.0,0.149572,921600.0
2000-05-01,1.0,1.0,1.0,1.0,0.149572,0.0
2000-05-02,1.048333,1.065,1.0,1.031666,0.154308,1828800.0
2000-05-03,1.016666,1.05,0.991666,1.025,0.153311,441000.0
2000-05-04,1.041666,1.041666,1.0,1.008333,0.150818,275400.0
2000-05-05,1.0,1.0,0.986666,0.99,0.148076,423000.0
2000-05-08,1.0,1.0,0.975,0.976666,0.146082,487800.0
2000-05-09,0.968333,1.0,0.966666,0.975,0.145832,486000.0
2000-05-10,0.975,0.978333,0.953333,0.956666,0.14309,700200.0
2000-05-11,0.998333,0.998333,0.953333,0.966666,0.144586,738000.0
2000-05-12,0.983333,0.983333,0.933333,0.975,0.145832,802800.0
2000-05-15,0.981666,0.998333,0.941666,0.993333,0.148575,264600.0
2000-05-16,0.99,1.016666,0.983333,0.993333,0.148575,828000.0
2000-05-17,0.983333,1.015,0.98,1.008333,0.150818,561600.0
2000-05-18,0.991666,1.016666,0.968333,0.978333,0.146331,268200.0
2000-05-19,0.983333,0.998333,0.968333,0.998333,0.149322,187200.0
2000-05-22,0.983333,0.983333,0.95,0.976666,0.146082,2345400.0
2000-05-23,0.998333,0.998333,0.935,0.935,0.13985,469800.0
2000-05-24,0.933333,0.966666,0.92,0.965,0.144337,405000.0
2000-05-25,0.998333,0.998333,0.933333,0.933333,0.1396,567000.0
2000-05-26,0.956666,0.98,0.956666,0.97,0.145085,138600.0
2000-05-29,0.983333,0.983333,0.936666,0.963333,0.144087,799200.0
2000-05-30,0.991666,0.991666,0.941666,0.98,0.14658,671400.0
2000-05-31,0.966666,0.99,0.9,0.933333,0.1396,765000.0
2000-06-01,0.941666,0.955,0.936666,0.955,0.142841,608400.0
2000-06-02,0.983333,0.985,0.966666,0.983333,0.147079,905400.0
2000-06-05,0.975,0.996666,0.958333,0.958333,0.14334,837000.0
2000-06-06,0.958333,0.958333,0.958333,0.958333,0.14334,0.0
2000-06-07,0.951666,0.99,0.951666,0.99,0.148076,509400.0
2000-06-08,0.996666,1.0,0.966666,0.975,0.145832,664200.0
2000-06-09,0.975,0.98,0.966666,0.98,0.14658,86400.0
2000-06-12,0.966666,0.983333,0.95,0.966666,0.144586,918000.0
2000-06-13,0.98,0.99,0.958333,0.981666,0.146829,604800.0
2000-06-14,0.981666,0.981666,0.941666,0.953333,0.142592,1733400.0
2000-06-15,0.98,1.008333,0.951666,0.998333,0.149322,2260800.0
2000-06-16,1.008333,1.048333,0.991666,1.003333,0.15007,1515600.0
2000-06-19,1.033333,1.033333,0.983333,1.033333,0.154557,1173600.0
2000-06-20,1.05,1.06,1.016666,1.058333,0.158297,1297800.0
2000-06-21,1.05,1.146666,1.05,1.133333,0.169515,1234800.0
2000-06-22,1.133333,1.133333,1.133333,1.133333,0.169515,0.0
2000-06-23,1.131666,1.131666,1.083333,1.116666,0.167022,563400.0
2000-06-26,1.091666,1.098333,1.066666,1.075,0.16079,1828800.0
2000-06-27,1.061666,1.1,1.061666,1.091666,0.163282,1283400.0
2000-06-28,1.113333,1.116666,1.073333,1.073333,0.16054,700200.0
2000-06-29,1.083333,1.096666,1.06,1.078333,0.161288,372600.0
2000-06-30,1.066666,1.083333,1.051666,1.075,0.16079,502200.0
2000-07-03,1.075,1.116666,1.066666,1.083333,0.162036,298800.0
2000-07-04,1.083333,1.113333,1.051666,1.066666,0.159543,739800.0
2000-07-05,1.08,1.096666,1.066666,1.081666,0.161787,459000.0
2000-07-06,1.101666,1.12,1.078333,1.116666,0.167022,1458000.0
2000-07-07,1.125,1.141666,1.116666,1.116666,0.167022,959400.0
2000-07-10,1.133333,1.156666,1.123333,1.125,0.168268,1247400.0
2000-07-11,1.1,1.113333,1.053333,1.09,0.163033,844200.0
2000-07-12,1.106666,1.106666,1.06,1.08,0.161537,613800.0
2000-07-13,1.07,1.096666,1.05,1.051666,0.157299,275400.0
2000-07-14,1.043333,1.071666,1.041666,1.061666,0.158795,981000.0
2000-07-17,1.045,1.088333,1.041666,1.081666,0.161787,239400.0
2000-07-18,1.091666,1.1,1.016666,1.016666,0.152065,327600.0
2000-07-19,1.05,1.056666,1.021666,1.03,0.154059,558000.0
2000-07-20,1.041666,1.066666,1.033333,1.066666,0.159543,234000.0
2000-07-21,1.065,1.071666,1.058333,1.066666,0.159543,473400.0
2000-07-24,1.056666,1.081666,1.05,1.063333,0.159045,342000.0
2000-07-25,1.053333,1.058333,1.033333,1.035,0.154807,297000.0
2000-07-26,1.036666,1.068333,1.033333,1.058333,0.158297,549000.0
2000-07-27,1.05,1.063333,1.038333,1.061666,0.158795,527400.0
2000-07-28,1.065,1.065,1.033333,1.041666,0.155804,226800.0
2000-07-31,1.05,1.05,1.03,1.041666,0.155804,115200.0
2000-08-01,1.028333,1.058333,1.025,1.033333,0.154557,226800.0
2000-08-02,1.033333,1.053333,1.001666,1.028333,0.15381,912600.0
2000-08-03,1.008333,1.066666,1.003333,1.061666,0.158795,669600.0
2000-08-04,1.078333,1.08,1.026666,1.035,0.154807,84600.0
2000-08-07,1.066666,1.066666,1.035,1.053333,0.157549,379800.0
2000-08-08,1.056666,1.076666,1.05,1.068333,0.159792,2154600.0
2000-08-09,1.075,1.075,1.03,1.065,0.159294,1332000.0
2000-08-10,1.05,1.068333,1.036666,1.046666,0.156552,469800.0
2000-08-11,1.035,1.066666,1.035,1.066666,0.159543,716400.0
2000-08-14,1.05,1.09,1.033333,1.073333,0.16054,1216800.0
2000-08-15,1.066666,1.083333,1.058333,1.06,0.158546,833400.0
2000-08-16,1.025,1.066666,1.008333,1.018333,0.152314,2932200.0
2000-08-17,1.05,1.08,1.033333,1.061666,0.158795,1888200.0
2000-08-18,1.061666,1.063333,1.038333,1.038333,0.155305,302400.0
2000-08-21,1.033333,1.038333,1.021666,1.036666,0.155056,405000.0
2000-08-22,1.033333,1.08,1.033333,1.041666,0.155804,804600.0
2000-08-23,1.041666,1.066666,1.031666,1.05,0.15705,608400.0
2000-08-24,1.035,1.048333,1.033333,1.048333,0.156801,156600.0
2000-08-25,1.058333,1.081666,1.041666,1.066666,0.159543,1607400.0
2000-08-28,1.053333,1.075,1.053333,1.066666,0.159543,1560600.0
2000-08-29,1.051666,1.065,1.041666,1.065,0.159294,739800.0
2000-08-30,1.063333,1.063333,1.026666,1.033333,0.154557,1155600.0
2000-08-31,1.036666,1.048333,1.018333,1.026666,0.15356,1155600.0
2000-09-01,1.033333,1.078333,1.033333,1.075,0.16079,1895400.0
2000-09-04,1.075,1.1,1.075,1.09,0.163033,1697400.0
2000-09-05,1.09,1.09,1.066666,1.073333,0.16054,1004400.0
2000-09-06,1.066666,1.095,1.056666,1.078333,0.161288,585000.0
2000-09-07,1.078333,1.078333,1.078333,1.078333,0.161288,0.0
2000-09-08,1.096666,1.096666,1.075,1.078333,0.161288,554400.0
2000-09-11,1.078333,1.083333,1.053333,1.066666,0.159543,459000.0
2000-09-12,1.066666,1.075,1.05,1.05,0.15705,453600.0
2000-09-13,1.035,1.098333,1.035,1.095,0.163781,756000.0
2000-09-14,1.083333,1.086666,1.055,1.058333,0.158297,322200.0
2000-09-15,1.033333,1.055,1.033333,1.05,0.15705,246600.0
2000-09-18,1.05,1.055,1.026666,1.035,0.154807,286200.0
2000-09-19,1.05,1.066666,1.033333,1.066666,0.159543,369000.0
2000-09-20,1.041666,1.065,1.03,1.058333,0.158297,997200.0
2000-09-21,1.05,1.083333,1.043333,1.075,0.16079,1321200.0
2000-09-22,1.066666,1.108333,1.058333,1.108333,0.165775,657000.0
2000-09-25,1.111666,1.13,1.1,1.118333,0.167271,1416600.0
2000-09-26,1.116666,1.158333,1.066666,1.066666,0.159543,1008000.0
2000-09-27,1.075,1.098333,1.018333,1.05,0.15705,880200.0
2000-09-28,1.056666,1.075,1.033333,1.055,0.157798,237600.0
2000-09-29,1.055,1.055,1.035,1.041666,0.155804,482400.0
2000-10-02,1.043333,1.058333,1.025,1.058333,0.158297,419400.0
2000-10-03,1.058333,1.066666,1.025,1.065,0.159294,451800.0
2000-10-04,1.065,1.075,1.016666,1.075,0.16079,432000.0
2000-10-05,1.075,1.075,1.075,1.075,0.16079,0.0
2000-10-06,1.075,1.075,1.025,1.03,0.154059,1476000.0
2000-10-09,1.033333,1.05,1.016666,1.048333,0.156801,579600.0
2000-10-10,1.05,1.05,1.025,1.025,0.153311,171000.0
2000-10-11,1.025,1.065,1.018333,1.023333,0.153062,397800.0
2000-10-12,1.023333,1.023333,1.023333,1.023333,0.153062,0.0
2000-10-13,1.016666,1.058333,1.016666,1.05,0.15705,345600.0
2000-10-16,1.036666,1.081666,1.035,1.046666,0.156552,597600.0
2000-10-17,1.041666,1.05,1.026666,1.03,0.154059,669600.0
2000-10-18,1.003333,1.016666,0.908333,0.966666,0.144586,3052800.0
2000-10-19,0.991666,1.0,0.968333,1.0,0.149572,691200.0
2000-10-20,0.966666,0.991666,0.953333,0.966666,0.144586,545400.0
2000-10-23,0.955,0.983333,0.901666,0.916666,0.137107,792000.0
2000-10-24,0.916666,0.916666,0.916666,0.916666,0.137107,0.0
2000-10-25,0.916666,1.0,0.901666,0.916666,0.137107,784800.0
2000-10-26,0.916666,0.95,0.916666,0.95,0.142093,554400.0
2000-10-27,0.998333,0.998333,0.961666,0.988333,0.147827,552600.0
2000-10-30,0.961666,1.0,0.918333,1.0,0.149572,192600.0
